,鼓励我们,鼓勵我們,Encourage us,私たちを奨励,우리를 격려,ermutigen Sie uns,Encouragez-nous,animarnos,ci incoraggiano,nos encorajar,Поощряйте нас,Bizi teşvik,khuyến khích chúng ta,mendorong kita,ให้กำลังใจเรา,,,,,,,
,尊贵会员,尊貴會員,VIP Member,VIPメンバー,VIP 회원,VIP,membre VIP,miembro VIP,membro VIP,Membro VIP,VIP-пользователь,VIP Üye,VIP Member,VIP Member,สมาชิก VIP,,,,,,,
,非会员用户,非會員用戶,Non-member users,非会員のユーザー,비회원 사용자,Nicht-Mitglied Benutzer,Utilisateurs non-membres,los usuarios que no son miembros,Gli utenti non membri,usuários não-membros,"пользователей, не являющихся членами",Üye olmayanlar kullanıcılar,người dùng không có thành viên,pengguna non-anggota,ผู้ใช้ไม่เป็นสมาชิก,,,,,,,
,无法连接互联网，请检查手机网络和应用网络权限是否打开,無法連接互聯網，請檢查手機網絡和應用網絡權限是否打開,"Unable to connect to the Internet, check the mobile phone network and application network permissions are open",インターネットに接続できない、確認してください携帯電話ネットワークとアプリケーションのネットワークアクセス権が開いています,"수 없습니다 휴대 전화 네트워크 및 애플리케이션 네트워크 권한이 열려 확인, 인터넷에 연결","Konnte keine Verbindung zum Internet, überprüfen Sie das Mobiltelefonnetz und Anwendungsnetzwerkberechtigungen sind offen für eine Verbindung","Impossible de se connecter à Internet, vérifier le réseau de téléphonie mobile et les autorisations réseau d'application sont ouverts","No se puede conectar a Internet, compruebe los permisos de la red telefónica y la red de aplicaciones móviles están abiertos","Impossibile connettersi a Internet, controllare le autorizzazioni rete telefonia e di rete di applicazioni mobili sono aperti","Não é possível conectar-se à Internet, verifique a rede de telefone e de rede aplicação permissões móveis estão abertos","Не удается подключиться к Интернету, проверьте телефонную сеть и сетевые приложения разрешения мобильные открыты","Açılamıyor cep telefonu ağ ve uygulama ağ izinleri açık çek, internete bağlanmak için","Không thể kết nối với Internet, kiểm tra mạng điện thoại và mạng ứng dụng cho phép điện thoại di động đang mở","Tidak dapat terhubung ke Internet, memeriksa jaringan telepon dan jaringan aplikasi izin seluler terbuka",ไม่สามารถเชื่อมต่อกับอินเทอร์เน็ตตรวจสอบสิทธิ์ของเครือข่ายโทรศัพท์และเครือข่ายการใช้โทรศัพท์มือถือที่มีการเปิด,,,,,,,
,"您的每天免费视频去水印次数已经用完,升级为VIP获取更多增值服务~","您的每天免費視頻去水印次數已經用完,升級為VIP獲取更多增值服務~","Your daily free video watermark to the number of times has been used up, upgrade to get more value-added services to VIP ~",回数にあなたの毎日の無料のビデオ透かしがVIPにより付加価値の高いサービスを取得するには、アップグレード、最大使用されてきた〜,"횟수에 일일 무료 동영상 워터 마크는 VIP에 더 많은 부가가치 서비스를받을 업그레이드, 최대 사용되었습니다 ~","Ihre täglichen kostenlose Video-Wasserzeichen auf die Anzahl der Zeiten wurden verbraucht, ein Upgrade auf mehr Mehrwertdienste zu VIP bekommen ~","Filigrane vidéo gratuit tous les jours au nombre de fois a été utilisé, mise à niveau pour obtenir plus de services à valeur ajoutée pour VIP ~","Su diario de vídeo libre de marca de agua para el número de veces que se ha agotado, la actualización para obtener más servicios de valor añadido para VIP ~","Il vostro quotidiano video gratuito filigrana al numero di volte in cui è stato utilizzato fino, aggiornamento per avere più servizi a valore aggiunto per VIP ~","Seu diária livre vídeo marca d'água para o número de vezes que tem sido usado para cima, atualizar para obter mais serviços de valor agregado para VIP ~","Ваш ежедневный бесплатный видео водяной знак число раз израсходован, обновление, чтобы получить больше дополнительных услуг для VIP ~","kaç kez Günlük ücretsiz video filigran VIP fazla katma değerli hizmetleri almak için yükseltme, yukarı kullanılmıştır ~","video miễn phí watermark hàng ngày với số lần đã được sử dụng hết, nâng cấp để có thêm các dịch vụ giá trị gia tăng tới VIP ~","harian video gratis watermark Anda ke berapa kali telah digunakan sampai, meng-upgrade untuk mendapatkan lebih banyak layanan nilai tambah untuk VIP ~",ลายน้ำวิดีโอฟรีของคุณทุกวันเพื่อให้จำนวนครั้งที่ถูกนำมาใช้ขึ้นอัพเกรดจะได้รับบริการที่มีมูลค่าเพิ่มมากขึ้นในวีไอพี ~,,,,,,,
,恢复成功~,恢復成功~,Recovery success ~,復旧成功〜,복구 성공 ~,Recovery Erfolg ~,succès de récupération ~,el éxito de recuperación ~,successo di recupero ~,de sucesso de recuperação ~,Успех восстановления ~,Kurtarma başarı ~,Phục hồi thành công ~,Keberhasilan pemulihan ~,ประสบความสำเร็จในการกู้คืน ~,,,,,,,
,查看详情,查看詳情,see details,詳細を見ます,세부 정보보기,Details anzeigen,Voir les détails,Ver detalles,Vedi dettagli,Ver detalhes,подробнее,Görünüm ayrıntıları,Xem chi tiết,Lihat rincian,ดูรายละเอียด,,,,,,,
,正在恢复购买...,正在恢復購買...,Recovering buy ...,購入の回復...,구매를 복구 ...,Wiederherstellen kaufen ...,Récupération acheter ...,Recuperación de compra ...,Recupero buy ...,Recuperando buy ...,Восстановление купить ...,buy kurtarılıyor ...,Phục hồi mua ...,Memulihkan membeli ...,การกู้คืนซื้อ ...,,,,,,,
,"网络连接失败,检测到网络权限可能未开启,您可以在\设置\中检查WLAN与蜂窝移动网络","網絡連接失敗,檢測到網絡權限可能未開啟,您可以在\設置\中檢查WLAN與蜂窩移動網絡","Network failure detected network permissions may not open, you can \ settings \ check WLAN and cellular mobile network",ネットワーク障害検出されたネットワークアクセス権が開いていない、あなたは、\設定\ WLANとセルラーモバイルネットワークを確認することができて,"네트워크 오류 감지 네트워크 권한은 열려 있지, 당신은 \ 설정 \ WLAN 및 셀룰러 이동 네트워크를 확인하실 수 있습니다","Netzwerkfehler erkannt Netzwerk Berechtigungen können nicht geöffnet ist, können Sie \ Einstellungen \ überprüfen WLAN und Mobilfunkmobilfunknetz","défaillance du réseau des autorisations de réseau détectées ne peuvent pas ouverts, vous pouvez \ settings \ vérifier WLAN et le réseau mobile cellulaire","Fallo de red detectados permisos de red pueden no abierta, se puede \ ajustes \ comprobar WLAN y la red móvil celular","Errore di rete autorizzazioni di rete rilevati potrebbero non aperto, è possibile \ Impostazioni \ controllare WLAN e la rete cellulare mobile","falha de rede detectadas permissões de rede pode não aberto, você pode \ settings \ verificar WLAN e rede móvel celular","Сбой сети, обнаруженные сетевые разрешения могут не открыты, вы можете \ Настройка \ проверить WLAN и сотовую сеть мобильной связи","Şebeke hatası tespit ağ izinleri açık değil, sen \ ayarlar \ WLAN ve hücresel mobil şebekeyi kontrol edebilirsiniz olabilir","lỗi mạng phát hiện cho phép mạng có thể không mở, bạn có thể \ Settings \ kiểm tra WLAN và mạng di động tế bào","kegagalan jaringan terdeteksi izin jaringan mungkin tidak terbuka, Anda dapat \ settings \ memeriksa WLAN dan jaringan bergerak selular",เครือข่ายความล้มเหลวสิทธิ์เครือข่ายที่ตรวจพบอาจจะไม่เปิดคุณสามารถ \ การตั้งค่า \ ตรวจสอบ WLAN และเครือข่ายมือถือโทรศัพท์มือถือ,,,,,,,
,您的鼓励将使应用变得更好！,您的鼓勵將使應用變得更好！,Your encouragement will make the application better!,あなたの励ましは、アプリケーションが良くなります！,여러분의 격려는 더 나은 응용 프로그램을 만들 것입니다!,Ihre Ermutigung macht die Anwendung besser!,Vos encouragements mieux l'application!,Su aliento hará que la aplicación mejor!,Il vostro incoraggiamento renderà l'applicazione migliore!,Seu estímulo irá tornar a aplicação melhor!,Ваша поддержка будет сделать приложение лучше!,Cesaret daha iyi uygulamayı yapacak!,khuyến khích của bạn sẽ làm cho các ứng dụng tốt hơn!,dorongan Anda akan membuat aplikasi yang lebih baik!,การให้กำลังใจของคุณจะทำให้แอพลิเคชันที่ดีกว่า!,,,,,,,
,吐槽,吐槽,Make complaints,Tucao,Tucao,Tucao,Tucao,Tucao,Tucao,Tucao,Tucao,Tucao,Tucao,Tucao,Tucao,,,,,,,
,下一步,下一步,The next step,次のステップ,다음 단계,Der nächste Schritt,L'étape suivante,El siguiente paso,Il passo successivo,O próximo passo,Следующий шаг,Bir sonraki adım,Bước tiếp theo,Langkah selanjutnya,ขั้นตอนต่อไป,,,,,,,
,最多选取30秒,最多選取30秒,Select up to 30 seconds,30秒まで選択,최대 30 초까지 선택,Wählen Sie bis zu 30 Sekunden,Sélectionnez jusqu'à 30 secondes,Seleccione un máximo de 30 segundos,Selezionare fino a 30 secondi,Selecione até 30 segundos,Выберите до 30 секунд,30 saniye kadar seçin,Chọn tối đa 30 giây,Pilih hingga 30 detik,เลือกได้ถึง 30 วินาที,,,,,,,
,保存,保存,save,保存,저장,Speichern,Enregistrer,Guardar,Salva,Guardar,Сохранить,Kaydet,Lưu,Simpan,บันทึก,,,,,,,
,分享,分享,share it,シェア,몫,Aktie,part,cuota,quota,ação,доля,hisse,cổ phiếu,saham,หุ้น,,,,,,,
,图片,圖片,image,絵,그림,Bild,image,imagen,immagine,retrato,изображение,resim,hình ảnh,gambar,ภาพ,,,,,,,
,涂鸦,塗鴉,Graffiti,落書き,낙서,Graffiti,graffiti,grafiti,Graffiti,grafite,граффити,duvar yazısı,graffiti,coretan,Graffiti,,,,,,,
,自定义文字,自定義文字,Custom text,カスタムテキスト,사용자 정의 텍스트,benutzerdefinierte Text,Texte personnalisé,texto personalizado,testo personalizzato,texto personalizado,Пользовательский текст,Özel metin,văn bản tùy chỉnh,teks kustom,ข้อความที่กำหนดเอง,,,,,,,
,"该功能为VIP增值服务,升级为VIP获取更多增值服务~","該功能為VIP增值服務,升級為VIP獲取更多增值服務~","This feature is a VIP value-added services, upgrades to obtain more value-added services to VIP ~",この機能は、〜VIPにより付加価値の高いサービスを得るためにVIPの付加価値サービス、アップグレードされ,"이 기능은 ~ 부가가치 서비스, 업그레이드 VIP에 더 많은 부가가치 서비스를 얻을 수있는 VIP입니다","Diese Funktion ist ein VIP-Mehrwertdienste, Upgrades mehr Mehrwertdienste zu VIP erhalten ~","Cette fonction est un service à valeur ajoutée VIP, des mises à niveau pour obtenir plus de services à valeur ajoutée pour VIP ~","Esta característica es un VIP servicios de valor añadido, las actualizaciones para obtener más servicios de valor añadido para VIP ~","Questa caratteristica è un VIP servizi a valore aggiunto, aggiornamenti per ottenere più servizi a valore aggiunto per VIP ~","Este recurso é um VIP serviços de valor agregado, upgrades para obter mais serviços de valor agregado para VIP ~","Эта функция является VIP услуги с добавленной стоимостью, обновления, чтобы получить больше дополнительных услуг для VIP ~","Bu özellik ~ katma değerli servisler, yükseltmeleri VIP fazla katma değerli hizmetler elde etmek için bir VIP olduğunu","Tính năng này là một VIP dịch vụ giá trị gia tăng, nâng cấp để có thêm các dịch vụ giá trị gia tăng tới VIP ~","Fitur ini adalah VIP layanan nilai tambah, upgrade untuk mendapatkan lebih banyak layanan nilai tambah untuk VIP ~",คุณลักษณะนี้จะเป็นวีไอพีบริการที่มีมูลค่าเพิ่มที่จะได้รับการอัพเกรดบริการที่มีมูลค่าเพิ่มมากขึ้นในวีไอพี ~,,,,,,,
,保存预览,保存預覽,Save Preview,保存プレビュー,저장 미리보기,Speichern der Vorschau,Enregistrer Aperçu,Guardar Vista previa,Salva anteprima,Guardar Pré-Visualização,Сохранить изображение,Kaydet Önizleme,Save Preview,Simpan Preview,บันทึกการแสดงตัวอย่าง,,,,,,,
,正在处理...,正在處理...,Processing ...,処理中...,처리 중 ...,Verarbeitung ...,Traitement en cours ...,Procesamiento ...,Elaborazione in corso ...,Processing ...,Обработка ...,İşleme ...,Đang xử lý ...,Pengolahan ...,กำลังประมวลผล ...,,,,,,,
,请重新选择裁剪区域,請重新選擇裁剪區域,Please re-select the crop area,トリミング領域を再選択してください,자르기 영역을 다시 선택하세요,Bitte wählen Sie erneut die Anbaufläche,S'il vous plaît re-sélectionner la zone de culture,"Por favor, vuelva a seleccionar el área de recorte",Si prega di selezionare nuovamente l'area di ritaglio,Seleccione de novo a área de corte,"Пожалуйста, повторно выбрать область кадрирования",Kırpma alanını yeniden seçiniz,Vui lòng chọn vùng cắt,Harap-pilih kembali daerah tanaman,กรุณาเปิดการเลือกพื้นที่เพาะปลูก,,,,,,,
,提示：请在视频中框选去水印的位置,提示：請在視頻中框選去水印的位置,Tip: Please go marquee position in the video watermark,ヒント：ビデオ透かしでマーキーの位置を行ってください,팁 : 비디오 워터 마크에 천막 위치를 이동하십시오,Tipp: Gehen Sie bitte Marquee Position im Video-Wasserzeichen,Astuce: S'il vous plaît aller la position marquee dans le filigrane vidéo,"Consejo: Por favor, vaya posición carpa en la marca de agua de vídeo",Suggerimento: Si prega di andare posizione tendone nel video filigrana,"Dica: Por favor, vá posição marquise na marca de água de vídeo","Совет: Пожалуйста, перейдите шатер позиции в видео водяного знака",İpucu: Video filigranda kayan yazı konumunu gidiniz,Mẹo: Hãy đi vị trí marquee trong đoạn video,Tip: Silakan posisi tenda di watermark video yang,เคล็ดลับ: กรุณาไปที่ตำแหน่งปะรำในลายน้ำวิดีโอ,,,,,,,
,自由,自由,free,自由な,무료,kostenlos,gratuit,gratis,gratis,livre,бесплатно,ücretsiz,tự do,gratis,ฟรี,,,,,,,
,升级会员,升級會員,Upgrade Membership,メンバーシップをアップグレード,업그레이드 회원,Upgrade-Mitgliedschaft,L'adhésion de mise à niveau,La membresía de actualización,L'adesione di aggiornamento,A associação de atualização,Обновление членства,Yükseltme Üyelik,Membership nâng cấp,Keanggotaan Upgrade,สมาชิกอัพเกรด,,,,,,,
,您已经是尊贵的会员了,您已經是尊貴的會員了,You are already a valued member of the,あなたは既にの大切なメンバーです,당신은 이미의 소중한 구성원,Sie sind bereits ein geschätztes Mitglied der,Vous êtes déjà membre apprécié du,Ya es un valioso miembro de la,Sei già un prezioso socio della,Você já é um membro valorizado da,Вы уже являетесь важным участником,Zaten bir üyesisin,Bạn đã là thành viên quan trọng của,Anda sudah menjadi anggota terhormat,คุณเป็นสมาชิกคนหนึ่งของมูลค่าที่มีอยู่แล้ว,,,,,,,
,订阅,訂閱,subscription,購読,신청,Abonnement,abonnement,suscripción,abbonamento,subscrição,подписка,abone,thuê bao,abonemen,การสมัครสมาชิก,,,,,,,
,常用,常用,Common,一般的,공통의,gemeinsam,commun,común,comune,comum,общий,ortak,chung,umum,ร่วมกัน,,,,,,,
,您已成为VIP会员,您已成為VIP會員,You have become a VIP member,あなたはVIPメンバーになってきました,당신은 VIP 회원이있다,Sie haben ein VIP-Mitglied,Vous êtes devenu membre VIP,Te has convertido en un miembro VIP,Sei diventato un membro VIP,Você se tornou um membro VIP,Вы стали членом VIP,Bir VIP üyesi haline gelmiştir,Bạn đã trở thành thành viên VIP,Anda telah menjadi anggota VIP,คุณได้กลายเป็นสมาชิกวีไอพี,,,,,,,
,VIP会员,VIP會員,VIP Member,VIPメンバー,VIP 회원,VIP,membre VIP,miembro VIP,membro VIP,Membro VIP,VIP-пользователь,VIP Üye,VIP Member,VIP Member,สมาชิก VIP,,,,,,,
,移除广告,移除廣告,Remove ads,広告を削除,광고를 제거,entfernen Sie Anzeigen,Supprimer les annonces,evitar los anuncios,rimuovere gli annunci,Remova os anúncios,Удаление объявлений,reklamları kaldırın,Loại bỏ quảng cáo,Hapus iklan,ลบโฆษณา,,,,,,,
,恢复订阅和购买,恢復訂閱和購買,Subscribe to restore and purchase,復元し、購入を購読します,복원 및 구매 구독하기,Abonnieren wiederherzustellen und Kauf,Abonnez-vous à restaurer et à l'achat,Suscribirse a restaurar y compra,Iscriviti per ripristinare e acquisto,Inscrever-se para restaurar e compra,Подписаться на восстановление и приобретение,geri ve satın abone,Theo dõi để khôi phục và mua,Berlangganan untuk memulihkan dan pembelian,สมัครสมาชิกเพื่อเรียกคืนและซื้อ,,,,,,,
,订阅开通说明,訂閱開通說明,Subscribe opened instructions,開かれた説明書を購読,열 지침을 구독,Abonnieren geöffnet Anweisungen,Abonnez-vous des instructions ouvertes,Subscribe instrucciones abiertas,Iscriviti istruzioni aperte,Assinar instruções abertas,Подписаться открываемые инструкции,açılan talimatları Abone,Theo dõi hướng dẫn mở,Berlangganan petunjuk dibuka,สมัครสมาชิกเปิดคำแนะนำ,,,,,,,
,隐私政策,隱私政策,Privacy Policy,プライバシーポリシー,개인 정보 보호 정책,Datenschutz,Politique de confidentialité,política de privacidad,Privacy Policy,política de Privacidade,Политика конфиденциальности,Gizlilik Politikası,Chính sách bảo mật,Kebijakan Privasi,นโยบายความเป็นส่วนตัว,,,,,,,
,服务条款,服務條款,Terms of Service,利用規約,서비스 약관,Nutzungsbedingungen,Conditions d'utilisation,Condiciones del servicio,Termini del Servizio,Termos de Serviço,Условия предоставления услуг,Hizmet Şartları,Điều khoản Dịch vụ,Persyaratan Layanan,เงื่อนไขการให้บริการ,,,,,,,
,给我们评分,給我們評分,Rate us,私たちを評価します,우리를 평가,bewerten Sie uns,taux,nos clasificaría,tasso degli Stati Uniti,Avalie-nos,Оценить нас,Puan verin,đánh giá chúng tôi,Beri kami,คะแนนเรา,,,,,,,
,您已经移除了广告,您已經移除了廣告,You have removed advertising,あなたは、広告を削除しました,당신은 광고를 제거했습니다,Sie haben Werbung entfernt,Vous avez supprimé la publicité,Ha eliminado la publicidad,Hai rimosso la pubblicità,Você removeu publicidade,Вы удалили рекламу,Reklam vermeye kaldırdık,Bạn đã gỡ bỏ quảng cáo,Anda telah menghapus iklan,คุณได้ลบโฆษณา,,,,,,,
,正在请求信息...,正在請求信息...,We are requesting information ...,私たちは、情報を要求しています...,우리는 정보를 요청하는 ...,Wir bitten Informationen ...,Nous sollicitons des informations ...,Estamos solicitando información ...,Chiediamo informazioni ...,Estamos solicitando informações ...,Мы запрашиваем информацию ...,Biz bilgi talebinde ...,Chúng tôi đang yêu cầu thông tin ...,Kami meminta informasi ...,เราจะขอข้อมูล ...,,,,,,,
,购买,購買,buy,購入,매수,Kauf,achat,compra,acquisto,compra,покупка,alım,mua,pembelian,ซื้อ,,,,,,,
,正在购买，请稍等...,正在購買，請稍等...,"Is buying, please wait ...",購入されています。しばらくお待ちください...,"구입하고, 잠시 기다려주세요 ...","Kauft, bitte warten ...","Est-ce qu'acheter, s'il vous plaît patienter ...","Es la compra, por favor espere ...",Sta acquistando in corso ...,"Está comprando, por favor aguarde ...","Является ли покупка, пожалуйста, подождите ...","satın alıyor, lütfen bekleyin ...","Được mua, vui lòng đợi ...","Adalah membeli, harap tunggu ...",จะซื้อโปรดรอ ...,,,,,,,
,购买成功！,購買成功！,Buy success!,成功を購入！,성공을 구입하세요!,Kaufen Sie Erfolg!,Acheter le succès!,Comprar el éxito!,Acquista il successo!,Comprar sucesso!,Купить успех!,başarıyı alın!,Mua thành công!,Membeli kesuksesan!,ซื้อความสำเร็จ!,,,,,,,
,取消购买,取消購買,Cancel purchase,購入をキャンセル,구매 취소,Abbrechen Kauf,annuler l'achat,cancelar la compra,Annulla acquisto,cancelar compra,Отменить покупку,satın alma işlemini iptal,Hủy mua,membatalkan pembelian,ยกเลิกการสั่งซื้อ,,,,,,,
,未知错误,未知錯誤,unknown mistake,不明なエラー,알 수없는 오류,Unbekannter Fehler,erreur inconnue,error desconocido,errore sconosciuto,erro desconhecido,Неизвестная ошибка,Bilinmeyen hata,lỗi không xác định,kesalahan yang tidak diketahui,ข้อผิดพลาดที่ไม่รู้จัก,,,,,,,
,请检查网络~,請檢查網絡~,Please check your network ~,あなたのネットワークを確認してください〜,네트워크를 확인하시기 바랍니다 ~,Bitte überprüfen Sie Ihr Netzwerk ~,S'il vous plaît vérifier votre réseau ~,"Por favor, compruebe su red ~",Si prega di verificare la vostra rete ~,"Por favor, verifique sua rede ~","Пожалуйста, проверьте сеть ~",ağınızı kontrol edin ~,Vui lòng kiểm tra mạng của bạn ~,Silakan periksa jaringan Anda ~,กรุณาตรวจสอบเครือข่ายของคุณ ~,,,,,,,
,会员特权,會員特權,member's privilege,会員のメリット,회원 혜택,Vorteile für Mitglieder,Avantages membres,Beneficios de los miembros,Vantaggi per i soci,Benefícios dos membros,Преимущества членов,Üyelik Avantajları,lợi ích thành viên,Manfaat anggota,ผลประโยชน์ของสมาชิก,,,,,,,
,正在订阅，请稍等...,正在訂閱，請稍等...,"Subscribing, please wait ...",購読しています。しばらくお待ちください...,"구독, 잠시 기다려주세요 ...","Anmeldung, bitte warten ...","Vous inscrivant, s'il vous plaît patienter ...","Suscribirse, por favor espere ...",La sottoscrizione in corso ...,"Inscrevendo-se, por favor aguarde ...","Подписавшись, пожалуйста, подождите ...","Abone, lütfen bekleyin ...","Đang đăng ký, vui lòng đợi ...","Berlangganan, harap tunggu ...",การสมัครสมาชิกโปรดรอ ...,,,,,,,
,订阅成功！,訂閱成功！,Subscribe success!,成功を購読！,성공을 구독!,Abonnieren Erfolg!,Succès Abonnez-vous!,Subscribe éxito!,Sottoscrivi il successo!,Subscrever sucesso!,Подписка успеха!,Abonelik başarıyla gerçekleştirildi!,Đăng ký thành công!,Berlangganan sukses!,สมัครสมาชิกประสบความสำเร็จ!,,,,,,,
,取消订阅,取消訂閱,unsubscribe,登録解除,가입 취소,Abmelden,Se désabonner,Darse de baja,Cancellati,unsubscribe,Отказаться от подписки,aboneliğini,Hủy đăng ký,Berhenti berlangganan,ยกเลิกการรับข่าวสาร,,,,,,,
,免费试用,免費試用,Free Trial,無料体験,무료 평가판,Kostenlose Testversion,Essai gratuit,de prueba gratis,Prova gratuita,Free Trial,Бесплатная пробная версия,Ücretsiz Deneme,Dùng thử miễn phí,Free Trial,ทดลองใช้ฟรี,,,,,,,
,周,週,week,周,저우,Zhou,Zhou,Zhou,Zhou,Zhou,Чжоу,Zhou,Zhou,Zhou,โจว,,,,,,,
,月,月,month,月,월,Monat,mois,mes,mese,mês,месяц,ay,tháng,bulan,เดือน,,,,,,,
,季度,季度,Quarter,四半期,쿼터,Quartal,trimestre,trimestre,quarto,trimestre,четверть,çeyrek,phần tư,perempat,ย่าน,,,,,,,
,试用后,試用後,After the trial,裁判の後,재판 후,Nach der Verhandlung,Après le procès,Después del juicio,Dopo il processo,Após o julgamento,После суда,Duruşmadan sonra,Sau khi thử nghiệm,Setelah sidang,หลังจากทดลองใช้,,,,,,,
,年,年,year,年,년,Jahr,année,año,anno,ano,год,yıl,năm,tahun,ปี,,,,,,,
,"请求信息失败,是否重新请求？","請求信息失敗,是否重新請求？","Request information fails, whether to re-request?",リクエスト情報を再要求をするかどうか、失敗しましたか？,"요청 정보를 다시 요청을 할 것인지, 실패?","Informationen anfordern fehlschlägt, ob auf-Anfrage-Re?","Demande d'information échoue, que ce soit à redemander?","Solicitud de información falla, ya sea para re-petición?","Richiesta informazioni non riesce, se ri-richiesta?","Marcar falhar, se a re-request?","Запрос информации не удается, нужно ли повторно запрос?","Talebi bilgisi yeniden isteği edip, başarısız?","Yêu cầu thông tin thất bại, cho dù để lại yêu cầu?","Permintaan informasi gagal, apakah akan kembali permintaan?",ขอข้อมูลล้มเหลวไม่ว่าจะ re-คำขอ?,,,,,,,
,是,是,Yes,それはあります,그것은이다,es ist,il est,es,si tratta di,é,Здесь,öyle,nó là,sekarang,มันเป็น,,,,,,,
,一年,一年,A year,年,년,Ein Jahr,Une année,Un año,Un anno,Um ano,год,bir sene,Một năm,setahun,ปี,,,,,,,
,三个月,三個月,Three months,3ヶ月,석 달,Vierteljahr,trois mois,tres meses,tre mesi,três meses,Три месяца,Üç ay,ba tháng,tiga bulan,ไตรมาส,,,,,,,
,免费试用3天,免費試用3天,3 days free trial,3日間の無料トライアル,삼일 무료 평가판,3 Tage kostenlose Testversion,3 jours d'essai gratuit,3 días de prueba gratuita,3 giorni di prova gratuita,3 dias de testes,3 дней бесплатная пробная версия,3 gün ücretsiz deneme,3 ngày thử nghiệm miễn phí,3 hari percobaan gratis,3 วันทดลองใช้ฟรี,,,,,,,
,一个月,一個月,Month,月,월,Monat,mois,mes,mese,mês,месяц,ay,tháng,bulan,เดือน,,,,,,,
,一周,一周,one week,一週間,일주일,Eine Woche,une semaine,una semana,una settimana,uma semana,Одна неделя,Bir hafta,một tuần,seminggu,หนึ่งสัปดาห์,,,,,,,
,会员订阅开通说明,會員訂閱開通說明,Members subscribe to the opening description,メンバーは、開口部の説明を購読します,회원은 개방 설명에 가입,Mitglieder abonnieren Sie den Öffnungs Beschreibung,Les membres souscrivent à la description d'ouverture,Los miembros suscriben a la descripción apertura,I membri sottoscrivono la descrizione di apertura,Membros se inscrever para a descrição de abertura,Члены подписаться на описание открытия,Üye açılış açıklaması abone,Thành viên đăng ký vào các mô tả mở,Anggota berlangganan deskripsi pembukaan,สมัครสมาชิกรายละเอียดการเปิด,,,,,,,
